"WL [nm]"	"22C"	"50C"	"75C"	"100C"	"140C"	"180C"
404.66	2.4556201	2.45842	2.4611399	2.4640901		
435.83	2.4065101	2.4086599	2.4107599	2.41311	2.4172599	2.42242
467.82	2.3705399	2.3722601	2.37397	2.37586	2.37925	2.3835001
479.99	2.3594	2.3610799	2.3626599	2.3645201	2.3677199	2.3715999
508.58	2.3373899	2.3389101	2.3403001	2.34202	2.3448901	2.3484001
546.07	2.3148799	2.3162501	2.3174801	2.319	2.3215101	2.3246601
576.96	2.3003399	2.30158	2.3027401	2.30408	2.3064599	2.3093801
643.85	2.2768199	2.27793	2.2789199	2.2801099	2.2821701	2.2846601
700	2.2626801	2.2635801	2.2644601	2.26566	2.26757	2.2699299
800	2.2449601	2.2458	2.2465701	2.2476399	2.24945	2.2515099
900	2.2329299	2.23369	2.23439	2.2354	2.23704	2.2390399
1000	2.224	2.2247601	2.2255499	2.2265501	2.22807	2.2299099
1064	2.2195401	2.2202301	2.2209201	2.2218699	2.2232101	2.2251899
1400	2.20275	2.2035201	2.20418	2.2049201	2.2063899	2.2081299
1700	2.1924	2.1931601	2.1937499	2.19452	2.1959	2.1975701
2000	2.1831501	2.1838901	2.18451	2.1852	2.1866	2.1882
2250	2.1754799	2.1762099	2.1768	2.17749	2.1789	2.1805201
2500	2.16747	2.1682301	2.1687901	2.1695299	2.1708601	2.1724501
2750	2.1590199	2.15977	2.1603301	2.1610701	2.1624	2.16398
3000	2.14993	2.1506801	2.1512499	2.1519401	2.1533201	2.1549101
3250	2.1401	2.1408401	2.1414599	2.1422	2.1435299	2.1450901
3400	2.1338899	2.1346099	2.13521	2.1359	2.13731	2.13888
