WL [mn],T
600.05,1.08e-3
600.4,2.6e-4
600.75,1e-4
601.1,1e-3
601.45,7.1e-4
601.8,2.6e-4
602.14,-3.3e-4
602.49,1.05e-3
602.84,1.02e-3
603.19,6.9e-4
603.54,7.7e-4
603.89,8.1e-4
604.24,4.7e-4
604.58,1.18e-3
604.93,1.08e-3
605.28,1.11e-3
605.63,1.26e-3
605.98,6.2e-4
606.33,4.6e-4
606.67,8.7e-4
607.02,7.7e-4
607.37,6.2e-4
607.72,9.6e-4
608.07,-2.9e-4
608.41,2.2e-4
608.76,4.4e-4
609.11,3.4e-4
609.46,5.6e-4
609.81,2.8e-4
610.15,7e-5
610.5,7.7e-4
610.85,2.6e-4
611.2,1.13e-3
611.54,2.6e-4
611.89,2.2e-4
612.24,5e-4
612.59,9.5e-4
612.93,3.2e-4
613.28,2.8e-4
613.63,1.11e-3
613.98,1.44e-3
614.32,7.4e-4
614.67,7.1e-4
615.02,6.2e-4
615.37,2.2e-4
615.71,-2.3e-4
616.06,4e-4
616.41,4.4e-4
616.75,6.5e-4
617.1,1.29e-3
617.45,5.8e-4
617.79,3.8e-4
618.14,2.8e-4
618.49,7.4e-4
618.83,5.2e-4
619.18,5e-4
619.53,8.3e-4
619.87,5e-4
620.22,5.2e-4
620.57,3.1e-4
620.91,1.6e-4
621.26,1.9e-4
621.61,2.2e-4
621.95,-5e-5
622.3,4e-5
622.65,9.9e-4
622.99,5.2e-4
623.34,7e-5
623.68,4e-5
624.03,1.1e-3
624.38,4e-4
624.72,6.2e-4
625.07,2.8e-4
625.41,8.6e-4
625.76,2.03e-3
626.1,1.23e-3
626.45,4.6e-4
626.8,8.6e-4
627.14,1.25e-3
627.49,6.8e-4
627.83,1e-4
628.18,4.4e-4
628.52,7e-4
628.87,6.8e-4
629.21,5.8e-4
629.56,9.8e-4
629.91,1.25e-3
630.25,6.8e-4
630.6,1.25e-3
630.94,1.59e-3
631.29,1.01e-3
631.63,6.8e-4
631.98,1e-4
632.32,6.8e-4
632.67,4e-4
633.01,7.4e-4
633.36,6.4e-4
633.7,1e-5
634.04,8.9e-4
634.39,6.2e-4
634.73,4.6e-4
635.08,1.9e-4
635.42,4e-4
635.77,5.6e-4
636.11,5.2e-4
636.46,1.04e-3
636.8,8.3e-4
637.15,3.2e-4
637.49,2.2e-4
637.83,1.17e-3
638.18,1.19e-3
638.52,3.8e-4
638.87,3.4e-4
639.21,4.4e-4
639.55,1e-4
639.9,6.8e-4
640.24,1.02e-3
640.59,6.9e-4
640.93,7.7e-4
641.27,7e-5
641.62,1.2e-3
641.96,9.3e-4
642.31,3.4e-4
642.65,7.5e-4
642.99,9e-4
643.34,4.4e-4
643.68,1.32e-3
644.02,1.18e-3
644.37,1.51e-3
644.71,8.1e-4
645.05,1.46e-3
645.4,1.43e-3
645.74,1.03e-3
646.08,7.5e-4
646.43,2.32e-3
646.77,2.54e-3
647.11,1.76e-3
647.46,2e-3
647.8,2.2e-3
648.14,2.66e-3
648.48,3.13e-3
648.83,2.23e-3
649.17,2.75e-3
649.51,3.09e-3
649.86,3.81e-3
650.2,3.87e-3
650.54,3.82e-3
650.88,4.34e-3
651.23,4.45e-3
651.57,4.16e-3
651.91,5.32e-3
652.25,5.73e-3
652.59,5.04e-3
652.94,6.43e-3
653.28,6.15e-3
653.62,6.17e-3
653.96,6.39e-3
654.31,6.65e-3
654.65,6.51e-3
654.99,7.41e-3
655.33,8.1e-3
655.67,9.48e-3
656.02,9.33e-3
656.36,9.61e-3
656.7,9.93e-3
657.04,1.026e-2
657.38,1.044e-2
657.72,1.184e-2
658.07,1.182e-2
658.41,1.236e-2
658.75,1.335e-2
659.09,1.457e-2
659.43,1.537e-2
659.77,1.596e-2
660.11,1.558e-2
660.46,1.575e-2
660.8,1.719e-2
661.14,1.84e-2
661.48,1.89e-2
661.82,1.926e-2
662.16,2.094e-2
662.5,2.192e-2
662.84,2.282e-2
663.18,2.39e-2
663.53,2.504e-2
663.87,2.618e-2
664.21,2.746e-2
664.55,2.922e-2
664.89,3.054e-2
665.23,3.126e-2
665.57,3.191e-2
665.91,3.348e-2
666.25,3.455e-2
666.59,3.671e-2
666.93,3.748e-2
667.27,3.792e-2
667.61,3.985e-2
667.95,4.123e-2
668.29,4.276e-2
668.63,4.432e-2
668.97,4.576e-2
669.31,4.748e-2
669.65,5.102e-2
669.99,5.3e-2
670.33,5.516e-2
670.67,5.555e-2
671.01,5.728e-2
671.35,5.888e-2
671.69,6.051e-2
672.03,6.325e-2
672.37,6.428e-2
672.71,6.635e-2
673.05,6.82e-2
673.39,7.093e-2
673.73,7.351e-2
674.07,7.589e-2
674.41,7.876e-2
674.75,8.12e-2
675.09,8.393e-2
675.43,8.522e-2
675.77,8.742e-2
676.11,8.944e-2
676.45,9.114e-2
676.78,9.205e-2
677.12,9.401e-2
677.46,9.645e-2
677.8,0.10056
678.14,0.10357
678.48,0.10747
678.82,0.11066
679.16,0.11396
679.5,0.11755
679.83,0.11959
680.17,0.12176
680.51,0.12371
680.85,0.12573
681.19,0.12748
681.53,0.12846
681.87,0.12923
682.2,0.13498
682.54,0.139
682.88,0.14406
683.22,0.14881
683.56,0.1536
683.89,0.15968
684.23,0.1616
684.57,0.16364
684.91,0.16467
685.25,0.16601
685.58,0.1676
685.92,0.16785
686.26,0.16958
686.6,0.17169
686.94,0.17488
687.27,0.18013
687.61,0.18745
687.95,0.19286
688.29,0.19834
688.62,0.20597
688.96,0.21054
689.3,0.21347
689.64,0.21434
689.97,0.21463
690.31,0.21415
690.65,0.21239
690.98,0.21121
691.32,0.21281
691.66,0.21658
692,0.22216
692.33,0.22982
692.67,0.24009
693.01,0.24869
693.34,0.25681
693.68,0.26299
694.02,0.26791
694.35,0.26908
694.69,0.26932
695.03,0.26704
695.36,0.2639
695.7,0.26217
696.04,0.26119
696.37,0.26016
696.71,0.26213
697.05,0.2689
697.38,0.27669
697.72,0.28622
698.05,0.2983
698.39,0.31052
698.73,0.32192
